id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.097166,14157101389,9,14157344178,364665555,0.102046,0.097023,-0.003787734830347195,-3.75193,-545005660.7548923,-3.70699,145775716383.705,145778216383.705,,0.731578,-86.71884,2021-05-08T05:08:23.458Z,8.69e-05,111704.2097,2015-05-06T00:00:00.000Z,,2024-09-01T17:44:37.302Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.156438,13574346040,10,13574360332,376494895,0.157926,0.155883,-0.000891209032649137,-0.56646,-70308241.49315071,-0.51528,86770544096.3021,86770635455.5297,,0.231673,-32.45495,2018-01-05T00:00:00.000Z,0.00180434,8572.60857,2017-11-12T00:00:00.000Z,"{'times': 81.33580287074153, 'currency': 'usd', 'percentage': 8133.580287074153}",2024-09-01T17:44:42.861Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/img-ton.jpg?1724681212,5.28,13375580865,11,26969599643,262882374,5.45,5.23,-0.10763953484003874,-1.9992,-278083372.1651306,-2.03669,2534939940.09935,5111278231.09115,,8.25,-36.06141,2024-06-15T00:36:51.509Z,0.519364,916.09694,2021-09-21T00:33:11.092Z,,2024-09-01T17:44:42.304Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.335131,11946238749,12,15080717417,216300135,0.348346,0.335001,-0.01153782374410356,-3.32819,-411440707.484705,-3.32943,35646894561.6753,45000000000.0,45000000000.0,3.09,-89.13791,2021-09-02T06:00:10.474Z,0.01925275,1641.58571,2020-03-13T02:22:55.044Z,,2024-09-01T17:44:36.368Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2899.27,10179758575,13,10179758575,50147056,2970.55,2880.81,-48.43689588081679,-1.64321,-152475515.65043068,-1.47573,3508460.4920053,3508460.4920053,,7256.02,-60.04056,2022-05-13T15:09:54.509Z,558.54,419.11496,2022-05-13T01:36:45.053Z,,2024-09-01T17:44:43.062Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,57871.0,8877683698,14,8877683698,116526959,59250.0,57625.0,-953.5843779015413,-1.62106,-141297543.87338448,-1.56667,153304.87275447,153304.87275447,153304.87275447,73505.0,-21.21862,2024-03-14T07:10:23.403Z,3139.17,1744.71004,2019-04-02T00:00:00.000Z,,2024-09-01T17:44:43.042Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,21.88,8853639233,15,9728282805,207220730,22.85,21.81,-0.7509589879196028,-3.31874,-308230707.5766449,-3.36428,404934056.525975,444937151.354856,720000000.0,144.96,-84.91799,2021-11-21T14:18:56.538Z,2.8,680.52722,2020-12-31T13:15:21.540Z,,2024-09-01T17:44:34.838Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.338e-05,7881476473,16,13374952550,185737568,1.385e-05,1.335e-05,-3.69863526423e-07,-2.69046,-221574997.09376907,-2.73446,589260956210494.6,999982345474169.0,,8.616e-05,-84.47614,2021-10-28T03:54:55.568Z,5.6366e-11,23728879.06823,2020-11-28T11:26:25.838Z,,2024-09-01T17:44:41.390Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2462.24,7192601653,17,7195398173,408713859,2524.14,2448.35,-41.27409790987531,-1.64865,-109008982.08341122,-1.49294,2921431.7421167,2922567.60934718,,4799.89,-48.69984,2021-11-09T00:00:00.000Z,82.1,2899.08731,2018-12-15T00:00:00.000Z,,2024-09-01T17:44:42.900Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,10.54,6413511954,18,10546805225,216944139,11.09,10.54,-0.4425088118307041,-4.02755,-267708032.17896938,-4.00687,608099971.3083414,1000000000.0,1000000000.0,52.7,-79.97275,2021-05-10T00:13:57.214Z,0.148183,7022.04737,2017-11-29T00:00:00.000Z,,2024-09-01T17:44:38.185Z
